Station,IslandID,Island,Latitude,Longitude,Date
BAK_002,BAK,Baker,0.194722,-176.479444,10-Feb-15
BAK_011,BAK,Baker,0.194722,-176.479444,10-Feb-15
CAR_09,CAR,Caroline,-9.936981,-150.2115,01-Apr-09
HOW_012,HOW,Howland,0.807179,-176.616521,04-Feb-15
HOW_013,HOW,Howland,0.807179,-176.616521,04-Feb-15
JAR_642,JAR,Jarvis,-0.381409,-160.01217,11-Apr-15
JAR_663,JAR,Jarvis,-0.381409,-160.01217,11-Apr-15
JOH_010,JOH,Jhonson,16.736944,-169.523889,28-Jan-15
JOH_012,JOH,Jhonson,16.736944,-169.523889,28-Jan-15
JOH_056,JOH,Jhonson,16.736944,-169.523889,28-Jan-15
SWA_003,SWA,Swains,-11.055556,-171.077778,20-Feb-15
SWA_016,SWA,Swains,-11.055556,-171.077778,20-Feb-15
